Origin Code,Destination Code,Connection Airport Codes,Departure Date,Arrival Date,Cabin Type,RBD,Points Per Adult,Tax Per Adult,Flight Duration(s),StopOvers,Transition Time,Aircraft Details,Equipment,Remaining Seats,Designated Class,Source,TimeStamp
SYD,JFK,"SYD-AUH, AUH-JFK","2023-09-10 15:05:00, 2023-09-11 03:15:00","2023-09-10 23:25:00, 2023-09-11 09:30:00","Economy, Economy","N, N",75000,$328.69,"14h 20m, 14h 15m",1,03h 50m,"EY451(Etihad Airways), EY103(Etihad Airways)","Boeing 777-300ER, Airbus A350-1000",9,Economy,VA,2023-08-16 23:22:48
SYD,JFK,"SYD-AUH, AUH-JFK","2023-09-10 15:05:00, 2023-09-11 09:45:00","2023-09-10 23:25:00, 2023-09-11 16:00:00","Economy, Economy","N, N",75000,$328.69,"14h 20m, 14h 15m",1,10h 20m,"EY451(Etihad Airways), EY101(Etihad Airways)","Boeing 777-300ER, Boeing 787-9",9,Economy,VA,2023-08-16 23:22:48
SYD,JFK,"SYD-AUH, AUH-JFK","2023-09-22 15:05:00, 2023-09-23 03:15:00","2023-09-22 23:25:00, 2023-09-23 09:30:00","Economy, Economy","N, N",75000,$328.69,"14h 20m, 14h 15m",1,03h 50m,"EY451(Etihad Airways), EY103(Etihad Airways)","Boeing 787-9, Boeing 787-9",9,Economy,VA,2023-08-16 23:22:48
SYD,JFK,"SYD-AUH, AUH-JFK","2023-09-22 15:05:00, 2023-09-23 09:45:00","2023-09-22 23:25:00, 2023-09-23 16:00:00","Economy, Economy","N, N",75000,$328.69,"14h 20m, 14h 15m",1,10h 20m,"EY451(Etihad Airways), EY101(Etihad Airways)","Boeing 787-9, Boeing 787-9",9,Economy,VA,2023-08-16 23:22:48
SYD,JFK,"SYD-AUH, AUH-JFK","2023-09-24 15:05:00, 2023-09-25 03:15:00","2023-09-24 23:25:00, 2023-09-25 09:30:00","Economy, Economy","N, N",75000,$328.69,"14h 20m, 14h 15m",1,03h 50m,"EY451(Etihad Airways), EY103(Etihad Airways)","Boeing 787-9, Boeing 787-9",9,Economy,VA,2023-08-16 23:22:48
SYD,JFK,"SYD-AUH, AUH-JFK","2023-09-24 15:05:00, 2023-09-25 09:45:00","2023-09-24 23:25:00, 2023-09-25 16:00:00","Economy, Economy","N, N",75000,$328.69,"14h 20m, 14h 15m",1,10h 20m,"EY451(Etihad Airways), EY101(Etihad Airways)","Boeing 787-9, Boeing 787-9",9,Economy,VA,2023-08-16 23:22:48
SYD,JFK,"SYD-SIN, SIN-JFK","2023-09-25 18:05:00, 2023-09-26 12:10:00","2023-09-26 00:20:00, 2023-09-26 18:50:00","PremiumEconomy, PremiumEconomy","P, P",112500,$385.99,"08h 15m, 18h 40m",1,11h 50m,"SQ242(Singapore Airlines), SQ24(Singapore Airlines)","Airbus A350-900, Airbus A350-900",5,PremiumEconomy,VA,2023-08-16 23:22:48
SYD,JFK,"SYD-AUH, AUH-JFK","2023-09-25 20:50:00, 2023-09-26 09:45:00","2023-09-26 05:10:00, 2023-09-26 16:00:00","Business, Business","I, I",139000,$853.09,"14h 20m, 14h 15m",1,04h 35m,"EY455(Etihad Airways), EY101(Etihad Airways)","Boeing 777-300ER, Boeing 787-9",5,Business,VA,2023-08-16 23:22:48
SYD,JFK,"SYD-SIN, SIN-JFK","2023-09-26 15:00:00, 2023-09-27 12:10:00","2023-09-26 21:20:00, 2023-09-27 18:50:00","PremiumEconomy, PremiumEconomy","P, P",112500,$385.99,"08h 20m, 18h 40m",1,14h 50m,"SQ222(Singapore Airlines), SQ24(Singapore Airlines)","Airbus A380-800, Airbus A350-900",8,PremiumEconomy,VA,2023-08-16 23:22:48
SYD,JFK,"SYD-AUH, AUH-JFK","2023-09-26 20:50:00, 2023-09-27 09:45:00","2023-09-27 05:10:00, 2023-09-27 16:00:00","Economy, Economy","N, N",75000,$328.69,"14h 20m, 14h 15m",1,04h 35m,"EY455(Etihad Airways), EY101(Etihad Airways)","Boeing 777-300ER, Boeing 787-9",9,Economy,VA,2023-08-16 23:22:48
