Origin Code,Destination Code,Connection Airport Codes,Departure Date,Arrival Date,Cabin Type,RBD,Points Per Adult,Tax Per Adult,Flight Duration(s),StopOvers,Transition Time,Aircraft Details,Equipment,Remaining Seats,Designated Class,Source,TimeStamp
SYD,FCO,"SYD-SFO, SFO-FCO","2023-08-12 10:25:00, 2023-08-12 16:30:00","2023-08-12 07:00:00, 2023-08-13 13:20:00","Economy, Economy","X, X",59800,$133.38,"13h 35m, 11h 50m",1,09h 30m,"UA870(United Airlines), UA507(United Airlines)","Boeing 777-300ER, Boeing 777",3,Economy,VA,2023-08-11 22:46:00
SYD,FCO,"SYD-PER, PER-DOH, DOH-FCO","2023-08-12 18:15:00, 2023-08-12 23:00:00, 2023-08-13 15:45:00","2023-08-12 21:30:00, 2023-08-13 05:15:00, 2023-08-13 20:50:00","Economy, Economy, Economy","X, X, X",73800,$330.53,"05h 15m, 11h 15m, 06h 05m",2,"01h 30m, 10h 30m","VA567(Virgin Australia), QR901(Qatar), QR113(Qatar)","Boeing 737-800, Airbus A380-800, Airbus A350-1000",6,Economy,VA,2023-08-11 22:46:00
SYD,FCO,"SYD-PER, PER-DOH, DOH-FCO","2023-08-12 18:15:00, 2023-08-12 23:00:00, 2023-08-13 08:55:00","2023-08-12 21:30:00, 2023-08-13 05:15:00, 2023-08-13 14:05:00","Economy, Economy, Economy","X, X, X",73800,$330.53,"05h 15m, 11h 15m, 06h 10m",2,"01h 30m, 03h 40m","VA567(Virgin Australia), QR901(Qatar), QR131(Qatar)","Boeing 737-800, Airbus A380-800, Airbus A350-900",7,Economy,VA,2023-08-11 22:46:00
SYD,FCO,"SYD-DOH, DOH-FCO","2023-08-12 21:00:00, 2023-08-13 08:55:00","2023-08-13 04:55:00, 2023-08-13 14:05:00","Economy, Economy","X, X",75000,$323.59,"14h 55m, 06h 10m",1,04h 00m,"QR909(Qatar), QR131(Qatar)","Airbus A380-800, Airbus A350-900",8,Economy,VA,2023-08-11 22:46:00
SYD,FCO,"SYD-DOH, DOH-FCO","2023-08-12 21:00:00, 2023-08-13 15:45:00","2023-08-13 04:55:00, 2023-08-13 20:50:00","Economy, Economy","X, X",75000,$323.59,"14h 55m, 06h 05m",1,10h 50m,"QR909(Qatar), QR113(Qatar)","Airbus A380-800, Airbus A350-1000",6,Economy,VA,2023-08-11 22:46:00
SYD,FCO,"SYD-MEL, MEL-SFO, SFO-FCO","2023-08-13 07:00:00, 2023-08-13 10:55:00, 2023-08-13 16:30:00","2023-08-13 08:35:00, 2023-08-13 08:30:00, 2023-08-14 13:20:00","Economy, Economy, Economy","X, X, X",59800,$154.36,"01h 35m, 14h 35m, 11h 50m",2,"02h 20m, 08h 00m","VA808(Virgin Australia), UA61(United Airlines), UA507(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 777",9,Economy,VA,2023-08-11 22:46:00
SYD,FCO,"SYD-SFO, SFO-FCO","2023-08-13 10:25:00, 2023-08-13 16:30:00","2023-08-13 07:00:00, 2023-08-14 13:20:00","Economy, Economy","X, X",59800,$133.38,"13h 35m, 11h 50m",1,09h 30m,"UA870(United Airlines), UA507(United Airlines)","Boeing 777-300ER, Boeing 777",4,Economy,VA,2023-08-11 22:46:00
SYD,FCO,"SYD-SFO, SFO-FCO","2023-08-15 10:25:00, 2023-08-15 16:30:00","2023-08-15 07:00:00, 2023-08-16 13:20:00","Economy, Economy","X, X",59800,$133.38,"13h 35m, 11h 50m",1,09h 30m,"UA870(United Airlines), UA507(United Airlines)","Boeing 777-300ER, Boeing 777",9,Economy,VA,2023-08-11 22:46:00
SYD,FCO,"SYD-MEL, MEL-SFO, SFO-FCO","2023-08-15 19:00:00, 2023-08-16 10:55:00, 2023-08-16 16:30:00","2023-08-15 20:35:00, 2023-08-16 08:30:00, 2023-08-17 13:20:00","Economy, Economy, Economy","X, X, X",59800,$158.36,"01h 35m, 14h 35m, 11h 50m",2,"14h 20m, 08h 00m","VA882(Virgin Australia), UA61(United Airlines), UA507(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 777",9,Economy,VA,2023-08-11 22:46:00
SYD,FCO,"SYD-MEL, MEL-SFO, SFO-FCO","2023-08-15 19:30:00, 2023-08-16 10:55:00, 2023-08-16 16:30:00","2023-08-15 21:05:00, 2023-08-16 08:30:00, 2023-08-17 13:20:00","Economy, Economy, Economy","X, X, X",59800,$158.36,"01h 35m, 14h 35m, 11h 50m",2,"13h 50m, 08h 00m","VA886(Virgin Australia), UA61(United Airlines), UA507(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 777",9,Economy,VA,2023-08-11 22:46:00
