Origin Code,Destination Code,Connection Airport Codes,Departure Date,Arrival Date,Cabin Type,RBD,Points Per Adult,Tax Per Adult,Flight Duration(s),StopOvers,Transition Time,Aircraft Details,Equipment,Remaining Seats,Designated Class,Source,TimeStamp
SYD,LHR,"SYD-LAX, LAX-LHR","2023-08-18 09:30:00, 2023-08-18 12:55:00","2023-08-18 06:05:00, 2023-08-19 07:25:00","Economy, Economy","X, X",59800,$133.88,"13h 35m, 10h 30m",1,06h 50m,"UA842(United Airlines), UA231(United Airlines)","Boeing 787-9, Boeing 787-9",9,Economy,VA,2023-08-17 17:44:08
SYD,LHR,"SYD-SFO, SFO-LHR","2023-08-18 10:25:00, 2023-08-18 12:30:00","2023-08-18 07:00:00, 2023-08-19 06:55:00","Economy, Economy","X, X",59800,$133.88,"13h 35m, 10h 25m",1,05h 30m,"UA870(United Airlines), UA901(United Airlines)","Boeing 777-300ER, Boeing 777",9,Economy,VA,2023-08-17 17:44:08
SYD,LHR,"SYD-SFO, SFO-LHR","2023-08-18 10:25:00, 2023-08-18 16:00:00","2023-08-18 07:00:00, 2023-08-19 10:25:00","Economy, Economy","X, X",59800,$133.88,"13h 35m, 10h 25m",1,09h 00m,"UA870(United Airlines), UA948(United Airlines)","Boeing 777-300ER, Boeing 777",9,Economy,VA,2023-08-17 17:44:08
SYD,LHR,"SYD-SFO, SFO-LHR","2023-08-18 10:25:00, 2023-08-18 19:50:00","2023-08-18 07:00:00, 2023-08-19 14:10:00","Economy, Economy","X, X",59800,$133.88,"13h 35m, 10h 20m",1,12h 50m,"UA870(United Airlines), UA930(United Airlines)","Boeing 777-300ER, Boeing 787-9",6,Economy,VA,2023-08-17 17:44:08
SYD,LHR,"SYD-LAX, LAX-LHR","2023-08-19 09:30:00, 2023-08-19 12:55:00","2023-08-19 06:05:00, 2023-08-20 07:25:00","Economy, Economy","X, X",59800,$133.88,"13h 35m, 10h 30m",1,06h 50m,"UA842(United Airlines), UA231(United Airlines)","Boeing 787-9, Boeing 787-9",9,Economy,VA,2023-08-17 17:44:07
SYD,LHR,"SYD-MEL, MEL-SFO, SFO-LHR","2023-08-20 07:00:00, 2023-08-20 10:55:00, 2023-08-20 12:30:00","2023-08-20 08:35:00, 2023-08-20 08:30:00, 2023-08-21 06:55:00","Economy, Economy, Economy","X, X, X",59800,$162.48,"01h 35m, 14h 35m, 10h 25m",2,"02h 20m, 04h 00m","VA808(Virgin Australia), UA61(United Airlines), UA901(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 777",9,Economy,VA,2023-08-17 17:44:08
SYD,LHR,"SYD-LAX, LAX-LHR","2023-08-20 09:30:00, 2023-08-20 12:55:00","2023-08-20 06:05:00, 2023-08-21 07:25:00","Economy, Economy","X, X",59800,$133.88,"13h 35m, 10h 30m",1,06h 50m,"UA842(United Airlines), UA231(United Airlines)","Boeing 787-9, Boeing 787-9",6,Economy,VA,2023-08-17 17:44:08
SYD,LHR,"SYD-DOH, DOH-LHR","2023-08-20 21:00:00, 2023-08-21 12:40:00","2023-08-21 04:55:00, 2023-08-21 18:00:00","Business, Business","U, U",139000,$820.09,"14h 55m, 07h 20m",1,07h 45m,"QR909(Qatar), QR1(Qatar)","Airbus A380-800, Boeing 777-300ER",4,Business,VA,2023-08-17 17:44:08
SYD,LHR,"SYD-DOH, DOH-LHR","2023-08-20 21:00:00, 2023-08-21 12:40:00","2023-08-21 04:55:00, 2023-08-21 18:00:00","Economy, Economy","X, X",75000,$333.69,"14h 55m, 07h 20m",1,07h 45m,"QR909(Qatar), QR1(Qatar)","Airbus A380-800, Boeing 777-300ER",4,Economy,VA,2023-08-17 17:44:08
SYD,LHR,"SYD-DOH, DOH-LHR","2023-08-20 21:00:00, 2023-08-21 08:50:00","2023-08-21 04:55:00, 2023-08-21 14:10:00","Business, Business","U, U",139000,$820.09,"14h 55m, 07h 20m",1,03h 55m,"QR909(Qatar), QR7(Qatar)","Airbus A380-800, Boeing 777-300ER",4,Business,VA,2023-08-17 17:44:08
SYD,LHR,"SYD-DOH, DOH-LHR","2023-08-20 21:00:00, 2023-08-21 08:50:00","2023-08-21 04:55:00, 2023-08-21 14:10:00","Economy, Economy","X, X",75000,$333.69,"14h 55m, 07h 20m",1,03h 55m,"QR909(Qatar), QR7(Qatar)","Airbus A380-800, Boeing 777-300ER",4,Economy,VA,2023-08-17 17:44:08
SYD,LHR,"SYD-DOH, DOH-LHR","2023-08-20 21:00:00, 2023-08-21 07:55:00","2023-08-21 04:55:00, 2023-08-21 13:15:00","First, First","Z, Z",203000,$1067.19,"14h 55m, 07h 20m",1,03h 00m,"QR909(Qatar), QR3(Qatar)","Airbus A380-800, Airbus A380-800",4,First,VA,2023-08-17 17:44:08
SYD,LHR,"SYD-DOH, DOH-LHR","2023-08-20 21:00:00, 2023-08-21 07:55:00","2023-08-21 04:55:00, 2023-08-21 13:15:00","Business, Business","U, U",139000,$820.09,"14h 55m, 07h 20m",1,03h 00m,"QR909(Qatar), QR3(Qatar)","Airbus A380-800, Airbus A380-800",4,Business,VA,2023-08-17 17:44:08
SYD,LHR,"SYD-DOH, DOH-LHR","2023-08-20 21:00:00, 2023-08-21 07:55:00","2023-08-21 04:55:00, 2023-08-21 13:15:00","Economy, Economy","X, X",75000,$333.69,"14h 55m, 07h 20m",1,03h 00m,"QR909(Qatar), QR3(Qatar)","Airbus A380-800, Airbus A380-800",4,Economy,VA,2023-08-17 17:44:08
SYD,LHR,"SYD-MEL, MEL-SFO, SFO-LHR","2023-08-21 07:30:00, 2023-08-21 10:55:00, 2023-08-21 12:30:00","2023-08-21 09:05:00, 2023-08-21 08:30:00, 2023-08-22 06:55:00","Economy, Economy, Economy","X, X, X",59800,$162.48,"01h 35m, 14h 35m, 10h 25m",2,"01h 50m, 04h 00m","VA812(Virgin Australia), UA61(United Airlines), UA901(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 777",8,Economy,VA,2023-08-17 17:44:13
SYD,LHR,"SYD-MEL, MEL-SFO, SFO-LHR","2023-08-21 07:45:00, 2023-08-21 10:55:00, 2023-08-21 12:30:00","2023-08-21 09:20:00, 2023-08-21 08:30:00, 2023-08-22 06:55:00","Economy, Economy, Economy","X, X, X",59800,$162.48,"01h 35m, 14h 35m, 10h 25m",2,"01h 35m, 04h 00m","VA814(Virgin Australia), UA61(United Airlines), UA901(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 777",8,Economy,VA,2023-08-17 17:44:13
SYD,LHR,"SYD-LAX, LAX-LHR","2023-08-22 09:30:00, 2023-08-22 12:55:00","2023-08-22 06:05:00, 2023-08-23 07:25:00","Economy, Economy","X, X",59800,$133.88,"13h 35m, 10h 30m",1,06h 50m,"UA842(United Airlines), UA231(United Airlines)","Boeing 787-9, Boeing 787-9",5,Economy,VA,2023-08-17 17:44:07
SYD,LHR,"SYD-MEL, MEL-SFO, SFO-LHR","2023-08-22 18:30:00, 2023-08-23 10:55:00, 2023-08-23 12:30:00","2023-08-22 20:05:00, 2023-08-23 08:30:00, 2023-08-24 06:55:00","Economy, Economy, Economy","X, X, X",59800,$166.48,"01h 35m, 14h 35m, 10h 25m",2,"14h 50m, 04h 00m","VA878(Virgin Australia), UA61(United Airlines), UA901(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 777",4,Economy,VA,2023-08-17 17:44:07
SYD,LHR,"SYD-MEL, MEL-SFO, SFO-LHR","2023-08-22 19:00:00, 2023-08-23 10:55:00, 2023-08-23 12:30:00","2023-08-22 20:35:00, 2023-08-23 08:30:00, 2023-08-24 06:55:00","Economy, Economy, Economy","X, X, X",59800,$166.48,"01h 35m, 14h 35m, 10h 25m",2,"14h 20m, 04h 00m","VA882(Virgin Australia), UA61(United Airlines), UA901(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 777",4,Economy,VA,2023-08-17 17:44:07
SYD,LHR,"SYD-MEL, MEL-SFO, SFO-LHR","2023-08-22 19:30:00, 2023-08-23 10:55:00, 2023-08-23 12:30:00","2023-08-22 21:05:00, 2023-08-23 08:30:00, 2023-08-24 06:55:00","Economy, Economy, Economy","X, X, X",59800,$166.48,"01h 35m, 14h 35m, 10h 25m",2,"13h 50m, 04h 00m","VA886(Virgin Australia), UA61(United Airlines), UA901(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 777",4,Economy,VA,2023-08-17 17:44:07
SYD,LHR,"SYD-MEL, MEL-SFO, SFO-LHR","2023-08-23 07:30:00, 2023-08-23 10:55:00, 2023-08-23 12:30:00","2023-08-23 09:05:00, 2023-08-23 08:30:00, 2023-08-24 06:55:00","Economy, Economy, Economy","X, X, X",59800,$162.48,"01h 35m, 14h 35m, 10h 25m",2,"01h 50m, 04h 00m","VA812(Virgin Australia), UA61(United Airlines), UA901(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 777",4,Economy,VA,2023-08-17 17:44:07
SYD,LHR,"SYD-MEL, MEL-SFO, SFO-LHR","2023-08-23 07:45:00, 2023-08-23 10:55:00, 2023-08-23 12:30:00","2023-08-23 09:20:00, 2023-08-23 08:30:00, 2023-08-24 06:55:00","Economy, Economy, Economy","X, X, X",59800,$162.48,"01h 35m, 14h 35m, 10h 25m",2,"01h 35m, 04h 00m","VA814(Virgin Australia), UA61(United Airlines), UA901(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 777",4,Economy,VA,2023-08-17 17:44:07
SYD,LHR,"SYD-LAX, LAX-LHR","2023-08-23 09:30:00, 2023-08-23 12:55:00","2023-08-23 06:05:00, 2023-08-24 07:25:00","Economy, Economy","X, X",59800,$133.88,"13h 35m, 10h 30m",1,06h 50m,"UA842(United Airlines), UA231(United Airlines)","Boeing 787-9, Boeing 787-9",9,Economy,VA,2023-08-17 17:44:07
SYD,LHR,"SYD-LAX, LAX-LHR","2023-08-24 09:30:00, 2023-08-24 12:55:00","2023-08-24 06:05:00, 2023-08-25 07:25:00","Economy, Economy","X, X",59800,$133.88,"13h 35m, 10h 30m",1,06h 50m,"UA842(United Airlines), UA231(United Airlines)","Boeing 787-9, Boeing 787-9",9,Economy,VA,2023-08-17 17:44:08
SYD,LHR,"SYD-LAX, LAX-LHR","2023-08-25 09:30:00, 2023-08-25 12:55:00","2023-08-25 06:05:00, 2023-08-26 07:25:00","Economy, Economy","X, X",59800,$133.88,"13h 35m, 10h 30m",1,06h 50m,"UA842(United Airlines), UA231(United Airlines)","Boeing 787-9, Boeing 787-9",6,Economy,VA,2023-08-17 17:44:10
SYD,LHR,"SYD-SFO, SFO-LHR","2023-08-25 10:25:00, 2023-08-25 16:00:00","2023-08-25 07:00:00, 2023-08-26 10:25:00","Economy, Economy","X, X",59800,$133.88,"13h 35m, 10h 25m",1,09h 00m,"UA870(United Airlines), UA948(United Airlines)","Boeing 777-300ER, Boeing 777",9,Economy,VA,2023-08-17 17:44:10
SYD,LHR,"SYD-SFO, SFO-LHR","2023-08-25 10:25:00, 2023-08-25 19:50:00","2023-08-25 07:00:00, 2023-08-26 14:10:00","Economy, Economy","X, X",59800,$133.88,"13h 35m, 10h 20m",1,12h 50m,"UA870(United Airlines), UA930(United Airlines)","Boeing 777-300ER, Boeing 787-9",4,Economy,VA,2023-08-17 17:44:10
