Origin Code,Destination Code,Connection Airport Codes,Departure Date,Arrival Date,Cabin Type,RBD,Points Per Adult,Tax Per Adult,Flight Duration(s),StopOvers,Transition Time,Aircraft Details,Equipment,Remaining Seats,Designated Class,Source,TimeStamp
SYD,AMS,"SYD-BNE, BNE-DOH, DOH-AMS","2023-08-06 19:00:00, 2023-08-06 22:40:00, 2023-08-07 08:10:00","2023-08-06 20:30:00, 2023-08-07 06:10:00, 2023-08-07 13:55:00","Economy, Economy, Economy","X, X, X",82800,$369.47,"01h 30m, 14h 30m, 06h 45m",2,"02h 10m, 02h 00m","VA981(Virgin Australia), QR899(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",8,Economy,VA,2023-08-06 17:18:27
SYD,AMS,"SYD-BNE, BNE-DOH, DOH-AMS","2023-08-06 19:00:00, 2023-08-06 22:40:00, 2023-08-07 09:15:00","2023-08-06 20:30:00, 2023-08-07 06:10:00, 2023-08-07 15:00:00","Economy, Economy, Economy","P, P, P",228700,$465.57,"01h 30m, 14h 30m, 06h 45m",2,"02h 10m, 03h 05m","VA981(Virgin Australia), QR899(Qatar), QR275(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",7,Economy,VA,2023-08-06 17:18:27
SYD,AMS,"SYD-BNE, BNE-DOH, DOH-AMS","2023-08-06 19:00:00, 2023-08-06 22:40:00, 2023-08-07 09:15:00","2023-08-06 20:30:00, 2023-08-07 06:10:00, 2023-08-07 15:00:00","Economy, Economy, Economy","H, H, H",416200,$465.57,"01h 30m, 14h 30m, 06h 45m",2,"02h 10m, 03h 05m","VA981(Virgin Australia), QR899(Qatar), QR275(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",7,Economy,VA,2023-08-06 17:18:27
SYD,AMS,"SYD-BNE, BNE-DOH, DOH-AMS","2023-08-06 19:00:00, 2023-08-06 22:40:00, 2023-08-07 09:15:00","2023-08-06 20:30:00, 2023-08-07 06:10:00, 2023-08-07 15:00:00","Business, Business, Business","J, J, J",1693700,$629.57,"01h 30m, 14h 30m, 06h 45m",2,"02h 10m, 03h 05m","VA981(Virgin Australia), QR899(Qatar), QR275(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",2,Business,VA,2023-08-06 17:18:27
SYD,AMS,"SYD-BNE, BNE-DOH, DOH-AMS","2023-08-06 19:00:00, 2023-08-06 22:40:00, 2023-08-07 08:10:00","2023-08-06 20:30:00, 2023-08-07 06:10:00, 2023-08-07 13:55:00","Economy, Economy, Economy","R, R, R",308400,$465.57,"01h 30m, 14h 30m, 06h 45m",2,"02h 10m, 02h 00m","VA981(Virgin Australia), QR899(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",7,Economy,VA,2023-08-06 17:18:27
SYD,AMS,"SYD-BNE, BNE-DOH, DOH-AMS","2023-08-06 19:00:00, 2023-08-06 22:40:00, 2023-08-07 08:10:00","2023-08-06 20:30:00, 2023-08-07 06:10:00, 2023-08-07 13:55:00","Economy, Economy, Economy","H, H, H",416200,$465.57,"01h 30m, 14h 30m, 06h 45m",2,"02h 10m, 02h 00m","VA981(Virgin Australia), QR899(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",7,Economy,VA,2023-08-06 17:18:27
SYD,AMS,"SYD-BNE, BNE-DOH, DOH-AMS","2023-08-06 19:00:00, 2023-08-06 22:40:00, 2023-08-07 08:10:00","2023-08-06 20:30:00, 2023-08-07 06:10:00, 2023-08-07 13:55:00","Business, Business, Business","J, J, J",1693700,$629.57,"01h 30m, 14h 30m, 06h 45m",2,"02h 10m, 02h 00m","VA981(Virgin Australia), QR899(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",2,Business,VA,2023-08-06 17:18:27
SYD,AMS,"SYD-BNE, BNE-DOH, DOH-AMS","2023-08-06 19:30:00, 2023-08-06 22:40:00, 2023-08-07 08:10:00","2023-08-06 21:00:00, 2023-08-07 06:10:00, 2023-08-07 13:55:00","Business, Business, Business","J, J, J",1693700,$629.57,"01h 30m, 14h 30m, 06h 45m",2,"01h 40m, 02h 00m","VA985(Virgin Australia), QR899(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",3,Business,VA,2023-08-06 17:18:27
SYD,AMS,"SYD-BNE, BNE-DOH, DOH-AMS","2023-08-06 19:30:00, 2023-08-06 22:40:00, 2023-08-07 08:10:00","2023-08-06 21:00:00, 2023-08-07 06:10:00, 2023-08-07 13:55:00","Economy, Economy, Economy","H, H, H",416200,$465.57,"01h 30m, 14h 30m, 06h 45m",2,"01h 40m, 02h 00m","VA985(Virgin Australia), QR899(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",7,Economy,VA,2023-08-06 17:18:27
SYD,AMS,"SYD-BNE, BNE-DOH, DOH-AMS","2023-08-06 19:30:00, 2023-08-06 22:40:00, 2023-08-07 08:10:00","2023-08-06 21:00:00, 2023-08-07 06:10:00, 2023-08-07 13:55:00","Economy, Economy, Economy","R, R, R",308400,$465.57,"01h 30m, 14h 30m, 06h 45m",2,"01h 40m, 02h 00m","VA985(Virgin Australia), QR899(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",7,Economy,VA,2023-08-06 17:18:27
