Airport Code(s),Airport Name(s)
ADL,Adelaide
AKL,Auckland
AMS,Amsterdam
ATH,Athens
BCN,Barcelona
BKK,Bangkok
BLR,Bengaluru 
BNE,Brisbane
CDG,Paris
CGK,Jakarta 
DFW,Dallas Fort Worth
DOH,Doha
DPS,Bali (Denpasar)
DXB,Dubai
FCO,Rome
FRA,Frankfurt 
HKG,Hong Kong
NRT,Tokyo (Narita)
HND,Tokyo (Haneda)
HNL,Honolulu
ICN,Seoul
EWR,New York (Newark)
JFK,New York (JFK)
JNB,Johannesburg
LAX,Los Angeles
LHR,London (Heathrow)
LGW,London (Gatwick)
MAD,Madrid
MEL,Melbourne
MLE,Male
MNL,Manila
MXP,Milan
NAN,Fiji
PER,Perth
PPT,Papeete
PVG,Shanghai
SCL,Santiago
SFO,San Francisco
SIN,Singapore
SYD,Sydney
YVR,Vancouver
KUL,Kuala Lumpur
ZQN,Queenstown
CHC,Christchurch
WLG,Wellington
TPE,Taipei
KIX,Osaka
HKT,Phuket
AUH,Abu Dhabi
ORD,Chicago (O'Hare)
IAD,Dulles
SAN, San Diego
IAH, Houston
