Origin Code,Destination Code,Connection Airport Codes,Departure Date,Arrival Date,Cabin Type,RBD,Points per Adult,Tax per Adult (AUD),Flight Duration(s),Transition Time,Aircraft Details,TimeStamp
SYD,HND,"SYD-BNE, BNE-HND","2023-06-12 06:00:00, 2023-06-12 11:40:00","2023-06-12 07:30:00, 2023-06-12 20:00:00",ACEECO,"X, U",74800,$227.91,"01h 30m, 09h 20m","04h 10m, 00h 00m","JQ810(Jetstar), QF61(Qantas Airways)",2023-06-07 16:55:21
SYD,HND,"SYD-BNE, BNE-HND","2023-06-12 06:00:00, 2023-06-12 11:40:00","2023-06-12 07:30:00, 2023-06-12 20:00:00",ACEBUS,"X, U",82000,$227.91,"01h 30m, 09h 20m","04h 10m, 00h 00m","JQ810(Jetstar), QF61(Qantas Airways)",2023-06-07 16:55:21
SYD,HND,"SYD-BNE, BNE-HND","2023-06-12 06:05:00, 2023-06-12 11:40:00","2023-06-12 07:35:00, 2023-06-12 20:00:00",ACEBUS,"U, U",82000,$239.88,"01h 30m, 09h 20m","04h 04m, 00h 00m","QF500(Qantas Airways), QF61(Qantas Airways)",2023-06-07 16:55:21
SYD,HND,"SYD-BNE, BNE-HND","2023-06-12 06:35:00, 2023-06-12 11:40:00","2023-06-12 08:05:00, 2023-06-12 20:00:00",ACEBUS,"U, U",82000,$239.88,"01h 30m, 09h 20m","03h 35m, 00h 00m","QF502(Qantas Airways), QF61(Qantas Airways)",2023-06-07 16:55:21
SYD,HND,"SYD-BNE, BNE-HND","2023-06-12 07:05:00, 2023-06-12 11:40:00","2023-06-12 08:35:00, 2023-06-12 20:00:00",ACEBUS,"U, U",82000,$239.88,"01h 30m, 09h 20m","03h 05m, 00h 00m","QF504(Qantas Airways), QF61(Qantas Airways)",2023-06-07 16:55:21
SYD,HND,"SYD-BNE, BNE-HND","2023-06-12 07:35:00, 2023-06-12 11:40:00","2023-06-12 09:05:00, 2023-06-12 20:00:00",ACEBUS,"U, U",82000,$239.88,"01h 30m, 09h 20m","02h 35m, 00h 00m","QF506(Qantas Airways), QF61(Qantas Airways)",2023-06-07 16:55:21
SYD,HND,"SYD-BNE, BNE-HND","2023-06-12 08:05:00, 2023-06-12 11:40:00","2023-06-12 09:35:00, 2023-06-12 20:00:00",ACEBUS,"U, U",82000,$239.88,"01h 30m, 09h 20m","02h 05m, 00h 00m","QF508(Qantas Airways), QF61(Qantas Airways)",2023-06-07 16:55:21
SYD,HND,"SYD-BNE, BNE-HND","2023-06-12 08:35:00, 2023-06-12 11:40:00","2023-06-12 10:05:00, 2023-06-12 20:00:00",ACEBUS,"U, U",82000,$239.88,"01h 30m, 09h 20m","01h 34m, 00h 00m","QF510(Qantas Airways), QF61(Qantas Airways)",2023-06-07 16:55:21
SYD,HND,Direct flight,2023-06-12 20:20:00,2023-06-13 05:25:00,ACEBUS,U,82000,$197.16,10h 05m,00h 00m,QF25(Qantas Airways),2023-06-07 16:55:21
SYD,HND,"SYD-BNE, BNE-MEL, MEL-HND","2023-06-13 18:30:00, 2023-06-14 06:00:00, 2023-06-14 10:30:00","2023-06-13 20:00:00, 2023-06-14 08:25:00, 2023-06-14 20:00:00",ACEECO,"X, U, U",101300,$259.67,"01h 30m, 02h 24m, 10h 30m","10h 00m, 02h 05m, 00h 00m","JQ820(Jetstar), QF605(Qantas Airways), QF79(Qantas Airways)",2023-06-07 16:55:26
