Origin Code,Destination Code,Connection Airport Codes,Departure Date,Arrival Date,Cabin Type,RBD,Points Per Adult,Tax Per Adult,Flight Duration(s),StopOvers,Transition Time,Aircraft Details,Equipment,Remaining Seats,Designated Class,Source,TimeStamp
SYD,SIN,Direct flight,2023-11-19 16:30:00,2023-11-19 21:30:00,Economy,X,30200,$292.35,08h 00m,0,00h 00m,BA16(British Airways),-,-,Economy,QF,2023-11-19 00:34:46
SYD,SIN,Direct flight,2023-11-19 16:30:00,2023-11-19 21:30:00,PremiumEconomy,P,59000,$292.35,08h 00m,0,00h 00m,BA16(British Airways),-,-,PremiumEconomy,QF,2023-11-19 00:34:46
SYD,SIN,Direct flight,2023-11-19 16:30:00,2023-11-19 21:30:00,Business,U,75000,$292.35,08h 00m,0,00h 00m,BA16(British Airways),-,-,Business,QF,2023-11-19 00:34:46
SYD,SIN,"SYD-DPS, DPS-SIN","2023-11-19 16:35:00, 2023-11-19 21:40:00","2023-11-19 20:00:00, 2023-11-20 00:10:00","Economy, Economy","X, X",34300,$162.36,"06h 25m, 02h 30m",1,"01h 40m, 00h 00m","QF43(Qantas Airways), KL836(Klm Royal Dutch Airlines)",-,-,Economy,QF,2023-11-19 00:34:46
SYD,SIN,"SYD-KUL, KUL-SIN","2023-11-19 22:15:00, 2023-11-20 07:50:00","2023-11-20 03:50:00, 2023-11-20 09:05:00","Economy, Economy","X, X",30200,$120.45,"08h 35m, 01h 15m",1,"04h 00m, 00h 00m","MH140(Malaysia Airlines), MH601(Malaysia Airlines)",-,-,Economy,QF,2023-11-19 00:34:46
SYD,SIN,"SYD-KUL, KUL-SIN","2023-11-19 22:15:00, 2023-11-20 07:50:00","2023-11-20 03:50:00, 2023-11-20 09:05:00","Business, Business","U, U",75000,$125.05,"08h 35m, 01h 15m",1,"04h 00m, 00h 00m","MH140(Malaysia Airlines), MH601(Malaysia Airlines)",-,-,Business,QF,2023-11-19 00:34:46
SYD,SIN,"SYD-KUL, KUL-SIN","2023-11-19 22:15:00, 2023-11-20 09:10:00","2023-11-20 03:50:00, 2023-11-20 10:20:00","Economy, Economy","X, X",30200,$120.45,"08h 35m, 01h 10m",1,"05h 19m, 00h 00m","MH140(Malaysia Airlines), MH611(Malaysia Airlines)",-,-,Economy,QF,2023-11-19 00:34:46
SYD,SIN,"SYD-KUL, KUL-SIN","2023-11-19 22:15:00, 2023-11-20 09:10:00","2023-11-20 03:50:00, 2023-11-20 10:20:00","Business, Business","U, U",75000,$125.05,"08h 35m, 01h 10m",1,"05h 19m, 00h 00m","MH140(Malaysia Airlines), MH611(Malaysia Airlines)",-,-,Business,QF,2023-11-19 00:34:46
SYD,SIN,"SYD-KUL, KUL-SIN","2023-11-19 22:15:00, 2023-11-20 10:50:00","2023-11-20 03:50:00, 2023-11-20 11:55:00","Economy, Economy","X, X",30200,$120.45,"08h 35m, 01h 04m",1,"07h 00m, 00h 00m","MH140(Malaysia Airlines), MH627(Malaysia Airlines)",-,-,Economy,QF,2023-11-19 00:34:46
SYD,SIN,"SYD-KUL, KUL-SIN","2023-11-19 22:15:00, 2023-11-20 11:50:00","2023-11-20 03:50:00, 2023-11-20 12:55:00","Economy, Economy","X, X",30200,$120.45,"08h 35m, 01h 04m",1,"08h 00m, 00h 00m","MH140(Malaysia Airlines), MH603(Malaysia Airlines)",-,-,Economy,QF,2023-11-19 00:34:46
SYD,SIN,"SYD-KUL, KUL-SIN","2023-11-19 22:15:00, 2023-11-20 11:50:00","2023-11-20 03:50:00, 2023-11-20 12:55:00","Business, Business","U, U",75000,$125.05,"08h 35m, 01h 04m",1,"08h 00m, 00h 00m","MH140(Malaysia Airlines), MH603(Malaysia Airlines)",-,-,Business,QF,2023-11-19 00:34:46
SYD,SIN,"SYD-HKG, HKG-SIN","2023-11-19 22:20:00, 2023-11-20 07:50:00","2023-11-20 04:25:00, 2023-11-20 11:55:00","Economy, Economy","X, X",45000,$389.18,"09h 05m, 04h 04m",1,"03h 24m, 00h 00m","CX138(Cathay Pacific), CX691(Cathay Pacific)",-,-,Economy,QF,2023-11-19 00:34:46
SYD,SIN,"SYD-HKG, HKG-SIN","2023-11-19 22:20:00, 2023-11-20 07:50:00","2023-11-20 04:25:00, 2023-11-20 11:55:00","PremiumEconomy, PremiumEconomy","T, T",81800,$389.18,"09h 05m, 04h 04m",1,"03h 24m, 00h 00m","CX138(Cathay Pacific), CX691(Cathay Pacific)",-,-,PremiumEconomy,QF,2023-11-19 00:34:46
SYD,SIN,"SYD-HKG, HKG-SIN","2023-11-19 22:20:00, 2023-11-20 09:00:00","2023-11-20 04:25:00, 2023-11-20 13:05:00","Economy, Economy","X, X",45000,$389.18,"09h 05m, 04h 04m",1,"04h 34m, 00h 00m","CX138(Cathay Pacific), CX759(Cathay Pacific)",-,-,Economy,QF,2023-11-19 00:34:46
