Departure Date	Departure Airport Code	Arrival Airport Code	Points Required	Avios	Travel Class	Search Timestamp	Cash Price
03 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:11	-
04 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:11	-
05 MAY 2023	SYD	HNL	31500	25750	-/B/-/E	2023-05-02 19:32:11	-
06 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:11	-
07 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:11	-
08 MAY 2023	SYD	HNL	31500	25750	-/B/-/E	2023-05-02 19:32:11	-
09 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:12	-
10 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:12	-
11 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:12	-
12 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:12	-
13 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:12	-
14 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:12	-
16 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:12	-
16 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:34	-
17 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:12	-
17 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:35	-
18 MAY 2023	SYD	HNL	31500	25750	-/B/-/E	2023-05-02 19:32:35	-
19 MAY 2023	SYD	HNL	31500	25750	-/B/-/E	2023-05-02 19:32:35	-
20 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:35	-
21 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:35	-
22 MAY 2023	SYD	HNL	31500	25750	-/B/-/E	2023-05-02 19:32:35	-
23 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:35	-
24 MAY 2023	SYD	HNL	31500	25750	-/B/-/E	2023-05-02 19:32:35	-
25 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:35	-
26 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:36	-
27 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:36	-
28 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:36	-
29 MAY 2023	SYD	HNL	31500	25750	-/-/-/E	2023-05-02 19:32:36	-
