Origin Code,Destination Code,Connection Airport Codes,Departure Date,Arrival Date,Cabin Type,RBD,Points per Adult,Tax per Adult (AUD),Flight Duration(s),Transition Time,Aircraft Details,TimeStamp
SYD,HKG,"SYD-BNE, BNE-TPE, TPE-HKG","2023-05-26 18:35:00, 2023-05-26 22:50:00, 2023-05-27 08:00:00","2023-05-26 20:05:00, 2023-05-27 05:45:00, 2023-05-27 09:55:00",ACEECO,"X, Z, T",82800,$266.47,"01h 30m, 08h 54m, 01h 55m","02h 45m, 02h 15m, 00h 00m","QF546(Qantas Airways), CI54(China Airlines Ltd.), CX407(Cathay Pacific)",2023-05-26 15:16:47
SYD,HKG,"SYD-BNE, BNE-TPE, TPE-HKG","2023-05-26 18:35:00, 2023-05-26 22:50:00, 2023-05-27 08:00:00","2023-05-26 20:05:00, 2023-05-27 05:45:00, 2023-05-27 09:55:00",ACEPRM,"X, Z, T",93200,$266.47,"01h 30m, 08h 54m, 01h 55m","02h 45m, 02h 15m, 00h 00m","QF546(Qantas Airways), CI54(China Airlines Ltd.), CX407(Cathay Pacific)",2023-05-26 15:16:47
SYD,HKG,"SYD-BNE, BNE-TPE, TPE-HKG","2023-05-26 18:35:00, 2023-05-26 22:50:00, 2023-05-27 08:00:00","2023-05-26 20:05:00, 2023-05-27 05:45:00, 2023-05-27 09:55:00",ACEBUS,"X, O, U",113400,$266.47,"01h 30m, 08h 54m, 01h 55m","02h 45m, 02h 15m, 00h 00m","QF546(Qantas Airways), CI54(China Airlines Ltd.), CX407(Cathay Pacific)",2023-05-26 15:16:47
SYD,HKG,Direct flight,2023-05-26 21:55:00,2023-05-27 05:10:00,ACEECO,X,30200,$271.48,09h 15m,00h 00m,CX138(Cathay Pacific),2023-05-26 15:16:47
SYD,HKG,"SYD-MEL, MEL-HKG","2023-05-26 22:00:00, 2023-05-27 07:30:00","2023-05-26 23:35:00, 2023-05-27 14:55:00",ACEECO,"X, X",38200,$301.77,"01h 34m, 09h 24m","07h 55m, 00h 00m","QF499(Qantas Airways), CX134(Cathay Pacific)",2023-05-26 15:16:47
SYD,HKG,"SYD-MEL, MEL-HKG","2023-05-26 22:00:00, 2023-05-27 07:30:00","2023-05-26 23:35:00, 2023-05-27 14:55:00",ACEPRM,"X, T",77400,$301.77,"01h 34m, 09h 24m","07h 55m, 00h 00m","QF499(Qantas Airways), CX134(Cathay Pacific)",2023-05-26 15:16:47
SYD,HKG,"SYD-TPE, TPE-HKG","2023-05-26 22:10:00, 2023-05-27 08:00:00","2023-05-27 05:40:00, 2023-05-27 09:55:00",ACEECO,"X, T",46000,$228.5,"09h 30m, 01h 55m","02h 20m, 00h 00m","CI52(China Airlines Ltd.), CX407(Cathay Pacific)",2023-05-26 15:16:47
SYD,HKG,Direct flight,2023-05-27 07:35:00,2023-05-27 15:00:00,ACEECO,X,30200,$271.48,09h 24m,00h 00m,CX110(Cathay Pacific),2023-05-26 15:16:52
SYD,HKG,Direct flight,2023-05-27 07:35:00,2023-05-27 15:00:00,ACEPRM,T,59000,$271.48,09h 24m,00h 00m,CX110(Cathay Pacific),2023-05-26 15:16:52
SYD,HKG,"SYD-AKL, AKL-HKG","2023-05-28 06:20:00, 2023-05-28 13:45:00","2023-05-28 11:25:00, 2023-05-28 21:25:00",ACEECO,"X, X",55800,$295.06,"03h 05m, 11h 39m","02h 20m, 00h 00m","QF141(Qantas Airways), CX198(Cathay Pacific)",2023-05-26 15:16:57
